algo,size,density,time
logsort,1000,0.01,0.008990274000097997
qsort,1000,0.01,0.009819974000492948
logsort,1000,0.01,0.008241838999310858
qsort,1000,0.01,0.010985093000272173
logsort,1000,0.01,0.011519192999912775
qsort,1000,0.01,0.011672041000565514
logsort,1000,0.01,0.011257221000050777
qsort,1000,0.01,0.012021257000014884
logsort,1000,0.01,0.010603228000036324
qsort,1000,0.01,0.01142475199958426
logsort,1000,0.05,0.013223490001109894
qsort,1000,0.05,0.013914503999330918
logsort,1000,0.05,0.01214208800047345
qsort,1000,0.05,0.010898255999563844
logsort,1000,0.05,0.013328453000212903
qsort,1000,0.05,0.01342160599961062
logsort,1000,0.05,0.01179940399924817
qsort,1000,0.05,0.01322506200085627
logsort,1000,0.05,0.012923213998874417
qsort,1000,0.05,0.01315617399995972
logsort,1000,0.1,0.011620655999649898
qsort,1000,0.1,0.013099447000058717
logsort,1000,0.1,0.01208990000122867
qsort,1000,0.1,0.010785999000290758
logsort,1000,0.1,0.01337457099907624
qsort,1000,0.1,0.011721746001057909
logsort,1000,0.1,0.012077985000360059
qsort,1000,0.1,0.011180543999216752
logsort,1000,0.1,0.012132198999097454
qsort,1000,0.1,0.011866458999065799
logsort,1000,0.25,0.013164772999516572
qsort,1000,0.25,0.011964530000113882
logsort,1000,0.25,0.011646622000625939
qsort,1000,0.25,0.012529531999462051
logsort,1000,0.25,0.012920396999106742
qsort,1000,0.25,0.011700697001288063
logsort,1000,0.25,0.013238068000646308
qsort,1000,0.25,0.012443610999980592
logsort,1000,0.25,0.01193470799989882
qsort,1000,0.25,0.012003354999251314
logsort,1000,0.5,0.013169239999115234
qsort,1000,0.5,0.012830161998863332
logsort,1000,0.5,0.012480020999646513
qsort,1000,0.5,0.014950561999285128
logsort,1000,0.5,0.009864370000286726
qsort,1000,0.5,0.007589780001580948
logsort,1000,0.5,0.014641465999375214
qsort,1000,0.5,0.013671267999598058
logsort,1000,0.5,0.014410150999538018
qsort,1000,0.5,0.013131198000337463
logsort,1000,1.0,0.01104588300040632
qsort,1000,1.0,0.011513666000610101
logsort,1000,1.0,0.013496393999957945
qsort,1000,1.0,0.012135627999668941
logsort,1000,1.0,0.011696072999257012
qsort,1000,1.0,0.013052278000031947
logsort,1000,1.0,0.011740780000764062
qsort,1000,1.0,0.01156940799955919
logsort,1000,1.0,0.013092069999402156
qsort,1000,1.0,0.01080160699893895
logsort,5000,0.01,0.013763189999735914
qsort,5000,0.01,0.012725493001198629
logsort,5000,0.01,0.014121173000603449
qsort,5000,0.01,0.012278277999939746
logsort,5000,0.01,0.012153106999903684
qsort,5000,0.01,0.012663641999097308
logsort,5000,0.01,0.013961639000626747
qsort,5000,0.01,0.012157563998698606
logsort,5000,0.01,0.012171081001724815
qsort,5000,0.01,0.012781133000316913
logsort,5000,0.05,0.015057436999995844
qsort,5000,0.05,0.013206851001086761
logsort,5000,0.05,0.011660161999316188
qsort,5000,0.05,0.013889706000554725
logsort,5000,0.05,0.01411750900115294
qsort,5000,0.05,0.013399120000030962
logsort,5000,0.05,0.013674133999302285
qsort,5000,0.05,0.01323471899922879
logsort,5000,0.05,0.012520109999968554
qsort,5000,0.05,0.013521994998882292
logsort,5000,0.1,0.013328642999113072
qsort,5000,0.1,0.01504775899957167
logsort,5000,0.1,0.013757568000073661
qsort,5000,0.1,0.013402229000348598
logsort,5000,0.1,0.015479322000828688
qsort,5000,0.1,0.014784553999561467
logsort,5000,0.1,0.01534122199882404
qsort,5000,0.1,0.014713124999616412
logsort,5000,0.1,0.014698192000651034
qsort,5000,0.1,0.01359243300066737
logsort,5000,0.25,0.014618720999351353
qsort,5000,0.25,0.0129540719990473
logsort,5000,0.25,0.013637291998747969
qsort,5000,0.25,0.013174771000194596
logsort,5000,0.25,0.015515729999606265
qsort,5000,0.25,0.01341702599893324
logsort,5000,0.25,0.015154751999943983
qsort,5000,0.25,0.013646082999912323
logsort,5000,0.25,0.016354023000531015
qsort,5000,0.25,0.013396950000242214
logsort,5000,0.5,0.014517576000798726
qsort,5000,0.5,0.013830752999638207
logsort,5000,0.5,0.013920244000473758
qsort,5000,0.5,0.015591474999382626
logsort,5000,0.5,0.014674771999125369
qsort,5000,0.5,0.01459306899960211
logsort,5000,0.5,0.015968153000358143
qsort,5000,0.5,0.01621611500013387
logsort,5000,0.5,0.016444177001176286
qsort,5000,0.5,0.013764273999186116
logsort,5000,1.0,0.01147297999887087
qsort,5000,1.0,0.009587823999027023
logsort,5000,1.0,0.01460558899998432
qsort,5000,1.0,0.013462553000863409
logsort,5000,1.0,0.014024828000401612
qsort,5000,1.0,0.014007047999257338
logsort,5000,1.0,0.01547087299877603
qsort,5000,1.0,0.012259320999874035
logsort,5000,1.0,0.014341079999212525
qsort,5000,1.0,0.013443302999803564
logsort,100000,0.01,0.039609346000361256
qsort,100000,0.01,0.02903941600015969
logsort,100000,0.01,0.031076952000148594
qsort,100000,0.01,0.030411304998779087
logsort,100000,0.01,0.04228147200046806
qsort,100000,0.01,0.04197006700087513
logsort,100000,0.01,0.03274172600140446
qsort,100000,0.01,0.02938954400087823
logsort,100000,0.01,0.030680343001222354
qsort,100000,0.01,0.03811476699956984
logsort,100000,0.05,0.036852180999630946
qsort,100000,0.05,0.03234694599996146
logsort,100000,0.05,0.03759396799978276
qsort,100000,0.05,0.04193333200055349
logsort,100000,0.05,0.034636315000170725
qsort,100000,0.05,0.033543564000865445
logsort,100000,0.05,0.03413814699888462
qsort,100000,0.05,0.02932204799981264
logsort,100000,0.05,0.037836781000805786
qsort,100000,0.05,0.02905018999990716
logsort,100000,0.1,0.0377311379997991
qsort,100000,0.1,0.03029879499990784
logsort,100000,0.1,0.03567758099961793
qsort,100000,0.1,0.03444115099955525
logsort,100000,0.1,0.036846117000095546
qsort,100000,0.1,0.04034321499966609
logsort,100000,0.1,0.037532611000642646
qsort,100000,0.1,0.03214455999841448
logsort,100000,0.1,0.039100595999116194
qsort,100000,0.1,0.029328557999178884
logsort,100000,0.25,0.05684374399970693
qsort,100000,0.25,0.03567486199972336
