algo,size,target_density,actual_density,time,actual_unique,total
logsort,1000,0.01,0.01,0.009649613999499707,10,1000
qsort,1000,0.01,0.01,0.010495401000298443,10,1000
logsort,1000,0.01,0.01,0.010984758999256883,10,1000
qsort,1000,0.01,0.01,0.010795268999572727,10,1000
logsort,1000,0.01,0.01,0.011076700000558048,10,1000
qsort,1000,0.01,0.01,0.010898294000071473,10,1000
logsort,1000,0.05,0.05,0.012092097000277136,50,1000
qsort,1000,0.05,0.05,0.011559208000107901,50,1000
logsort,1000,0.05,0.05,0.011085209000157192,50,1000
qsort,1000,0.05,0.05,0.010667093001757166,50,1000
logsort,1000,0.05,0.05,0.011658364999675541,50,1000
qsort,1000,0.05,0.05,0.011397042000680813,50,1000
logsort,1000,0.1,0.1,0.012111046999052633,100,1000
qsort,1000,0.1,0.1,0.010285858999850461,100,1000
logsort,1000,0.1,0.1,0.009954701001333888,100,1000
qsort,1000,0.1,0.1,0.009944245000951923,100,1000
logsort,1000,0.1,0.1,0.011833139000373194,100,1000
qsort,1000,0.1,0.1,0.012744783000016469,100,1000
logsort,1000,0.25,0.245,0.012176776999694994,245,1000
qsort,1000,0.25,0.245,0.009735406998515828,245,1000
logsort,1000,0.25,0.247,0.012187383999844315,247,1000
qsort,1000,0.25,0.247,0.01067918000080681,247,1000
logsort,1000,0.25,0.248,0.011108790000434965,248,1000
qsort,1000,0.25,0.248,0.010856061999220401,248,1000
logsort,1000,0.5,0.434,0.010569047999524628,434,1000
qsort,1000,0.5,0.434,0.010839124999620253,434,1000
logsort,1000,0.5,0.436,0.010620401999403839,436,1000
qsort,1000,0.5,0.436,0.011525816998982918,436,1000
logsort,1000,0.5,0.427,0.011946496999371448,427,1000
qsort,1000,0.5,0.427,0.010473792000993853,427,1000
logsort,1000,0.75,0.558,0.011178300999745261,558,1000
qsort,1000,0.75,0.558,0.011366370001269388,558,1000
logsort,1000,0.75,0.541,0.010978824999256176,541,1000
qsort,1000,0.75,0.541,0.011180269000760745,541,1000
logsort,1000,0.75,0.555,0.010932962000879343,555,1000
qsort,1000,0.75,0.555,0.010680211998987943,555,1000
logsort,1000,1.0,0.637,0.01143320699884498,637,1000
qsort,1000,1.0,0.637,0.010682116999305435,637,1000
